Spectral Response Function Corners, trapezoid
Temperature: Celsius; Spectral Radiance: mW/[m^2 sr micrometer]; Wavelength: micrometer
lambda1:Response 1.0; lambda2:Response 1.0; lambda2:Response 0.0
lambda1: 8.00, lambda2:14.80, lambda3:19.80
TC,L
18.600, 8006.640
18.700, 8020.930
18.800, 8035.240
18.900, 8049.560
19.000, 8063.910
19.100, 8078.260
19.200, 8092.640
19.300, 8107.030
19.400, 8121.440
19.500, 8135.860
19.600, 8150.300
19.700, 8164.760
19.800, 8179.230
19.900, 8193.720
20.000, 8208.230
20.100, 8222.750
20.200, 8237.290
20.300, 8251.850
20.400, 8266.420
20.500, 8281.010
20.600, 8295.620
20.700, 8310.240
20.800, 8324.880
20.900, 8339.540
21.000, 8354.210
21.100, 8368.900
21.200, 8383.610
21.300, 8398.330
21.400, 8413.070
21.500, 8427.820
21.600, 8442.590
21.700, 8457.380
21.800, 8472.190
21.900, 8487.010
22.000, 8501.850
22.100, 8516.710
22.200, 8531.580
22.300, 8546.470
22.400, 8561.370
22.500, 8576.290
22.600, 8591.230
22.700, 8606.190
22.800, 8621.160
22.900, 8636.150
23.000, 8651.150
23.100, 8666.180
23.200, 8681.220
23.300, 8696.270
23.400, 8711.340
23.500, 8726.430
23.600, 8741.540
23.700, 8756.660
23.800, 8771.800
23.900, 8786.960
24.000, 8802.130
24.100, 8817.320
24.200, 8832.530
24.300, 8847.750
24.400, 8862.990
24.500, 8878.250
24.600, 8893.520
24.700, 8908.810
24.800, 8924.120
24.900, 8939.440
25.000, 8954.780
25.100, 8970.140
25.200, 8985.510
25.300, 9000.900
25.400, 9016.310
25.500, 9031.740
25.600, 9047.180
25.700, 9062.640
25.800, 9078.110
25.900, 9093.600
26.000, 9109.110
26.100, 9124.640
26.200, 9140.180
26.300, 9155.740
26.400, 9171.320
26.500, 9186.910
26.600, 9202.520
26.700, 9218.150
26.800, 9233.790
26.900, 9249.450
27.000, 9265.130
27.100, 9280.830
27.200, 9296.540
27.300, 9312.270
27.400, 9328.010
27.500, 9343.780
27.600, 9359.560
27.700, 9375.350
27.800, 9391.170
27.900, 9407.000
28.000, 9422.840
28.100, 9438.710
28.200, 9454.590
28.300, 9470.490
28.400, 9486.400
28.500, 9502.340
28.600, 9518.280
28.700, 9534.250
28.800, 9550.230
28.900, 9566.230
29.000, 9582.250
29.100, 9598.290
29.200, 9614.340
